Hoare,Lomuto
2203391749,1750962778
5029312788,2389231602
5704127952,2772682316
5534197185,2819845577
6231121059,3018077814
5590672035,3132519286
5470204414,2988651565
5371785095,2959304067
5154683504,2582283348
4835729528,2558768523
4958545762,2551002556
4629825182,2396101080
4636532570,2315770373
4721440487,2472626051
4714533891,2704206735
4935373288,2703996256
2885857239,2340592199
3724228905,2153793662
3626597848,2261628988
4108725930,2203726762
4611788305,2581499753
4540401229,2620155488
4506507727,2434599413
4526580573,2560756742
5321468982,2583690179
5703414264,2535241249
4757530236,2657904110
4776550900,2436817524
4642240367,2308422274
4568633720,2497641307
4358456731,2149358330
4760545229,2343037690
4143262238,2789062872
4048877991,3037954136
4117355852,2777095423
3773074845,2882671056
3986930247,2895463300
4356779642,3284527958
4450732145,3647029327
4511633255,3669664535
4428959239,3480737304
4803012408,3473498258
4707908428,3932341220
4890883455,4352956578
4436945326,4318811336
3986903622,3757362703
3713258751,3324709632
3443345113,2969282710
5120517766,2883415987
5026834787,2805984520
5178980523,2853373215
5325421186,3079885051
5249068763,3043235469
4850243584,2867826784
4853026012,2845606690
4949609321,2882103682
4854437014,2965195405
4785947238,2779885811
5101548102,2867230757
4813528833,2853982053
4789009727,2861673415
4512058622,2759665398
4835634331,2725819594
4511906682,3066769477
3076401910,3238300940
2303727196,1960698019
2495120905,1823802589
2625793454,1978898925
2649812632,2092348535
2543711393,2058796589
2584796625,2076598915
2682971552,2114262319
2614674365,2144830343
2520573881,2106232276
2454208268,2054108260
2557319806,1991220483
2563282527,1990279178
2431966684,1938543690
2451643658,1787229050
2860011627,3295859662
2273310675,2119519040
2294975790,2021989337
2269466911,1980896024
2375124147,2096620580
2368603733,2129065012
2516505646,1985772405
2516945980,2048247041
2568678018,2193080349
2428422754,2177560234
2412891064,2076845893
2406786563,2059310715
2464174533,2117973354
2356272903,2080031394
2368700294,1897416242
2201142136,1804576138
2970383347,3525686309
3049375289,3519563876
3160230213,3606186847
3331332368,3650673707
3279201340,3827966743
3470020109,3561655694
3380175562,3811719487
3292051083,4030265263
3229175854,3760979440
3082906325,3697038350
3059201422,3847730221
3225990774,3538590042
3385043537,3641226550
3423997194,3923994511
3466319631,3925310391
3465326887,3936983329
2973263501,3361301680
2257977505,2322448057
2277278129,2018037683
2271655366,2025396191
2462394380,2126776921
2388149857,2064419714
2498581351,2004500307
2513306966,2071165374
2520290390,2267758117
2475941145,2128577909
2399662571,2067075406
2438913739,2035986903
2442043887,2120982829
2362376123,2084572865
2368112374,1946387799
4148511057,2154784049
4395271096,2385643795
4621700727,2591705468
4238283178,2528186002
4620961946,2620630417
4521952257,2573872252
4449156011,2630133413
4378445782,2560813583
4394139088,2600728567
4136099919,2413824962
4443570915,2607174834
4686813643,2600407637
4534881449,2763930417
4700900314,2804602721
4503946952,2724276197
4734555423,2308520218
4436111485,2487035285
4709638593,2323897589
4466017096,2334180481
5013630368,2363120556
5275565923,2511933853
5401291376,2830243459
5524756474,2860162119
5415024362,2600889874
5799714339,2851276630
6097458177,2979678469
6076728262,3091180918
5320402548,3114886448
4855172532,2664446663
4419223727,2371835979
4227030575,2159948100
3687644930,2947110213
3817739845,2869283377
3998830430,3089272409
3809432918,3218613144
4248476309,3087894739
4030185369,2999411209
3944290628,3250512075
3894724316,3053245123
3732806182,3150619610
3737971105,3076806133
3848858302,3106769029
4187310864,3066978530
4070536864,3282171262
4137554860,3211910928
4203833259,3219471483
3223857147,2627565766
3095190066,3354979163
3143252903,3443791227
3412392359,3422424068
3491818654,3401854954
3382740812,3651698174
3687109496,3410288555
3527868983,3699580113
3485741777,3857040342
3383778110,3609121686
3258465572,3567306311
3270653057,3627253909
3370927114,3383477160
3570968371,3486411944
3567308032,3931145199
3566254681,3762047810
3728453544,3693008876
4095028253,3823524460
4099649712,3939151504
4132156035,4127672454
4137879587,4176418882
4094518780,3897713006
4127533528,3463896656
3896286742,3746161220
3932374586,3956528732
3700034360,3897155879
3973687738,4110025637
3880476089,3940986737
3854248939,3760484437
3794327116,3693704386
4066880813,3868968048
3960609116,3771989240
3769840750,3817344912
3809600170,4066449791
3922778802,4033210157
3882827911,4227760415
3899818510,4481966473
3873819389,3814676637
3637833036,3891601259
3715345007,3691243542
3749638384,4158619069
3589805857,3993403306
3709379044,3954713168
3529278184,4001429198
3294807261,4268972847
3289571958,3944494931
3357362355,4084158641
3513412217,4505955245
2672978701,2262134291
2674246027,2226904580
2804477064,3019628987
3058810404,2888118624
3636913289,3257624654
3285402386,3573490418
3228219157,3382536678
3046148369,3681196999
3389684142,3817494434
3539434975,4439257062
3328092058,4525317138
3307144780,4064544989
3274053536,3778999567
3260035560,3759826229
3286817731,3406117751
3382863855,3292084796
3575720771,3700693525
4124605944,3835486300
3833620625,4273530469
4296537988,4383623147
4491974013,4889174709
4238746517,4240957729
4228794382,4192427209
3992663387,3978859023
3880409378,3695687150
3759211143,3558652229
3720806545,3770091946
3609063764,3335773909
3523877063,3571615303
3686511688,3842567924
3764934903,3805805085
