BestShot@59,Lomuto
3546692621,3570125694
3543534900,3993752818
3516288954,3909463867
3168136788,3620200098
2877998766,3612897760
2426429799,3361927971
2477749717,3368728509
2947841023,3887867253
3236649828,3452298885
3163598246,3315460824
3661023442,3349597803
3333420293,3064564172
3272931499,3010973141
3542507883,3183022260
3516256281,3142687623
3834752842,2937824976
3343315135,3580188995
3417515262,3097195879
3148649555,3044016780
3123653393,2776264517
3227701846,3043839411
3095489483,2958834383
2716770490,3067794350
2926317167,3313640746
3201288657,3445349582
3013453985,3388551627
3420231539,3518203973
2986165957,3415516930
2810552762,3370689315
3138630829,3521765180
3055989422,3657185842
3281733015,3586673891
3253397738,3663127244
2950564003,3439735262
2915744448,3582706567
2526730598,3082671955
2859990354,3111686497
2789816506,3264145464
2831054100,3427172282
3016020685,3270655093
3329627086,3626723909
3622233117,3741058377
3296613779,3667319879
3106928020,3903327040
3738843450,3707796183
3589412909,3518825500
3313726221,3683737489
3490928982,3723519419
3030407606,3582517718
3146425151,3391699675
3007197454,3526490931
2955013445,3571823767
3676314407,3671537437
3783175399,4021018110
3603976870,4316931214
3215372886,3611103737
3105927468,3457795988
3006055007,3327124614
2967547999,3438089539
3218320774,3461921106
3032424850,3381443604
2996792704,3510746087
2877863739,3329942919
3035589254,3430853054
3202762047,3407728734
3119079792,3442241862
3155664527,3746236523
3160948518,3368592615
3057310970,3423569179
2888501732,3373858040
2351838115,3470114303
2417783039,3523762633
2316974086,3763437178
2153276650,3719232101
2220062463,3800493708
2408157336,3881141836
2332892258,3897764054
2306343951,4061843175
2311281976,3877403756
2468449974,3883873740
2557117604,4233853956
2352577018,3879607887
2398496635,3874858808
2583607285,3673100112
2380939497,3953026359
1978725520,2284055645
2789169945,3233825245
2431669767,3419911148
2637817729,3634292704
2557120027,3723788809
2448786611,3848249121
2672905236,3688326504
2736286135,4079845077
2921772709,3965694591
3083270452,4582950978
3069917722,4536246216
2749743701,4156281865
2691521087,4166934030
2507547345,3846391580
2351977038,3819461799
2701310715,3499477866
2928778841,3818297143
2920577060,3694593684
2659554201,3594519082
2797666327,3688077559
2939568487,3695128034
2620287465,3666296872
2744935270,3768852426
