0,25,50,75,100,125
3433834924,2891854776,2722381796,2816924746,2780174687,3796682926
3546475884,2804821006,2906232892,3154571339,3052754583,3997122327
4159028259,3192053287,3237107344,3250895292,3127655602,4064070031
4103419819,3290029227,3195205652,3278391390,3489953106,4494482514
4859665391,3739202766,3535140969,3626485653,3775729141,4615677675
4217851647,3550001584,3478022271,3263841897,3073752977,3974247348
3994537175,3006807518,2974440911,3156453701,3101138194,4177762595
3587407932,3004687236,2799708856,2637418219,2992866151,4147327479
4395035428,3066494738,2892018581,3012545650,3191675425,3294883448
4386896319,3156184596,3364538246,3339488138,3451323521,3692512064
4913378725,3596435140,3406096265,3388940368,3230561533,3609170273
4813752863,3227451541,3241997846,3336889121,3331308133,3684022178
4566981413,3428092635,3347869699,3163498184,3328257312,3512320500
4118069328,2769663476,2992895588,2866431980,2809668437,3070883664
3723772409,2581541623,2527802968,2648426125,2557772766,2990599377
4130352530,2741640688,2629688309,2785661516,2880048095,2975838177
3909336788,2871858967,2672555367,2696243711,2834826811,2968011846
3980738924,3014780982,2895196527,3045384790,2952784283,3215051183
4323723251,3160668771,2948456509,2919068487,2985328970,3223851492
3807446267,2647543006,2700158437,2871598673,2798642800,3277422318
3930189930,2909379680,2895190266,2747431768,3026481529,3214570420
3670401181,2657942519,2528822884,2449397648,2614999761,2814920720
3699315059,2735677308,2704183952,2990035081,2789073256,3036847440
4445881087,3301579847,3003160231,3135235209,2977331082,3484133426
4421729718,2988827280,3119816744,2980998924,3105522802,3586382674
4369492136,3017017865,3129819937,3053872079,2944790453,3599879873
4260653994,3040338733,3141956017,3180026305,3255627151,3670126764
4555110539,3117759161,3092823250,2955290974,3376394442,3378906031
4155807206,3100280023,2963404243,3199104377,3607486358,3755200066
4622641896,3463620536,3482548545,3179670646,3155449908,3414833495
4493287046,3235896756,3020593695,2944408896,3040950547,3268730297
4092130061,2915938400,2776944246,2586184657,2796365398,2955925976
4356184085,2952253380,2843711750,3032707975,3016104082,3392253143
4720544779,3537324169,3270203532,3491464610,3108292090,3756546887
4617516181,3200526540,3180999932,3356194113,3368177442,3722527276
5499416305,3828291866,3499160813,3689907986,3557746868,3835737753
4756887816,3452961629,3398023671,3211019595,2992554405,3518909103
4479540727,2917840872,2992562942,3069623245,3174899468,3260349768
4434060843,2979298311,2860529369,2652254163,2885373950,3352592513
2142665483,1882774210,2124668366,2063757096,2200343116,2395781777
3240904652,2352800677,2240668276,2471691380,2397763760,2393707153
3402856730,2563275078,2646958754,2515799622,2321204041,2737934483
3469876792,2562117330,2811519508,2644139438,2816535463,2811824393
3485858235,2484980871,2677995846,2520223728,2555812297,3115738661
3156177759,2379509550,2594482999,2521106482,2655066710,2841006246
3388919308,2488711534,2488490873,2900151145,2624232286,2860193040
3286004809,2503576668,2292981368,2461778658,2597276553,2892949474
3262456625,2453673625,2609785686,2475690542,2640800154,2734035475
3132055577,2687713620,2560001621,2706028246,2700442357,3193591282
3257948141,2540984966,2711582478,2974846857,2737591066,2992244497
3324774420,2743749081,2730279835,2762595846,2796141267,3210845693
3400332031,2808537878,3013587651,3240985822,3155664449,3853868827
4392562137,3518538977,3556823138,3223644026,3411942453,3899821745
4403461281,3036882812,3205659375,2989686953,3091037561,3816880241
4277059498,3105200079,3055678707,3265824565,2938849530,3520066956
3598093348,2635011953,2712264598,2614919285,2666562557,3353923314
3810757881,2913406194,2685940765,2781537849,3266102756,3523750111
3881005754,2819145077,2837418582,3148613830,3060562584,3482441210
4155773831,3272825672,3165420226,2997335950,2969066419,3867654416
4101080422,3089661411,2976672189,2923652383,2765683357,3363516942
3981777398,2853924184,3058273668,3202218775,3331948394,3517738617
4821232601,2956058635,3347536883,3039371389,3163245151,3549964015
4271338975,3230355925,2702300513,2975931762,2736872124,3140510957
4329513019,2787507481,2992470176,2843179292,3027878882,3206790583
4020431324,2961884501,3107971217,3014292953,2763844425,3223163350
4296229877,2929937858,2914802454,2899858381,2951043515,3260156939
3784407729,2922410851,2812427582,2743337408,2794703046,3128086246
3515794957,2749876608,2816735627,2763778577,2792701077,3367164090
