QuickThenInsert @ 30,QuickThenInsert @ 50,QuickThenInsert @ 70,QuickThenInsert @ 90
4889201506,3798865705,3633549181,3658409138
4841384376,3245076145,3591970196,3781886202
4739760539,3551108678,3371024968,3818997397
4319144924,3318269398,3382486490,3742107231
4840760581,3301831566,3346308877,3896937030
3423203253,3178295348,3225194316,3774162366
4514426335,3273891644,3272335965,3990490699
4539356676,3200104720,3188742850,3923414500
2212546901,1720942174,1779697949,3480848231
4620570259,3338608401,3057137710,3977115699
4355165672,3467304770,3128193266,4050272916
4449149742,3340197546,3345705715,3965315994
4230830067,3518348900,3591395652,4103532913
4471042390,3369918218,3595191268,4096484938
4139602210,3435585021,3439559198,3814617454
4373120581,3450822847,3239782840,3849836935
4341739914,3453765504,3380475339,4069108533
4552947194,3199083474,3508402822,4012236674
4341496731,3489405106,3257664357,4019307758
3942451730,3214184608,3415210133,3990019767
2341205898,2107435997,2138228753,2663140992
2280591599,2179146921,2009321192,2580177440
2348182895,2002291431,2144278586,2560032487
2276166554,2075274026,1971515003,2622967342
2236172905,2100582869,2064337927,2648728915
2356355643,2050981885,2079261313,2457153979
2364046426,2048988693,2086550056,2553105696
2488131209,2041827628,2091656680,2326944043
2270577372,2060493900,2106171147,2577005672
2399114273,2023451356,2093987459,2648453902
2456005329,2078539781,3120040648,2813751732
2222132713,1972652717,2036000278,2694137844
2508119802,2147464454,2104062634,2697995221
2541023089,2240090193,2043859850,2576627199
2358557891,2152963075,2015207685,2365948874
2472393700,2039160913,2104488328,2422898582
3336542725,3407836023,3361085194,3446877707
2197173247,2119522892,2268469822,2538407556
2204562619,2354412738,2120527315,2438410714
2208445960,2267874146,2294392330,2522340328
2352834185,2303780016,2254982139,2377067296
2271332219,2246967606,2159487401,2461729694
2467213458,2313261192,2534087883,2121402465
2249030706,2242466735,2274492305,2279875187
2131959026,2178774970,2396259227,2347823964
2253046725,2221979923,2210771632,2392853721
2349473460,2175957520,2364637568,2267283708
2347259022,2415275901,2597749477,2365621998
2314441262,2334598875,2324558937,2288251438
2214461780,2140998687,2382443348,2237118205
2305116323,2299653436,2251582135,2098389357
1982893561,1900598715,1880812934,1873553180
3118996686,3546451098,3319120676,4080920463
4390893497,3345506863,3217866109,4005089039
4366623654,3244607457,3245107078,4100061129
2050029646,1770690767,1775154808,3949177684
4447723622,3107861894,3222758638,4222213047
4115800306,3318078731,3321462344,4349866492
4125870756,3334307419,3382809749,4333177712
4047919250,3390291279,3544033440,4278766108
4004075871,3348392323,3511335410,4079132513
4176000296,3353947618,3153758733,3946901194
4099033790,3458538902,3278963773,4180642058
4365112140,3481288564,3405584555,4319826043
4242680602,3155781759,3403666794,4153096822
4359511625,3582790914,3508477518,4342460275
3519810784,3256692130,3456185844,4227839914
3975056438,3322349348,3330276786,3728650119
2234753154,2051373065,2060829038,2612264618
2243926875,2171669183,2205278840,2658800473
2167836038,2091533529,2092394840,2436604211
2267660257,2060272755,2100945023,2622378224
2114195079,2084173690,2051825123,2504464912
2520388368,2274294189,2041804678,2436466379
2386420078,2120449910,2069396844,2586868731
2401197833,2023441848,2132484423,2624777690
2326780894,2215707160,2114819823,2637016250
3487420488,2445523942,2340990592,2638516408
2483310613,2039666109,2097586118,2665279328
2418337616,2120536416,2264741856,2653035670
2305302429,2127220834,2147892817,2615757629
2542888895,2115983781,2105516616,2666481083
2400809376,2145415592,2154235072,2510554015
2325413851,2128120304,2076230354,2685093313
2101032294,1969095825,1938975565,2440179999
2277330355,2166688802,2111198826,2625585174
2319227833,2080775714,2168291751,2584558884
2359673378,2067521405,2120628631,2798953747
2102683474,2114246155,2093417263,2563412516
2498183922,2220738843,2033172011,2445294051
2469110735,2157743018,2089457066,2705632819
2290194722,2028389464,2061993804,2668944457
2256124778,2149720570,2043134024,2788677233
3347821101,2441088297,2229182411,2557244408
2438110630,2037192748,2153243983,2782112952
2310540874,2206011226,2228138520,2653315148
2275003951,2196980423,2158167553,2775565225
2310594691,2086563887,2056373048,2732690102
2338774367,2204931697,2168310403,2597377060
2348097153,1883120369,1958495401,2981673327
2190963790,2013622739,2073723340,3079638365
2400079387,2415601216,2294591114,3807709464
2947825290,2941358245,3006488639,3843069368
2818032083,2546701863,2319884590,3216509066
2350625551,2310343078,2222283769,3294458586
2137828141,2246772724,2232889944,3289895044
2145082547,2153258416,2228041980,2798820619
2231752469,2296841858,2148654702,3113298398
2300827579,2186253581,2172597800,3105809265
2078244212,2175796739,2021268843,2882830647
2068254543,2153878412,2126945200,3151464753
2110309957,2114148245,2120842983,2981702152
2186858526,2121988424,2160213838,3075725409
2152165159,2129685662,2017141768,2920975227
2155050792,2192374123,2197368166,2881605310
2287365278,2171225348,2192959081,2743574750
2322120386,2303855943,2361630122,3039523689
2281604915,2326967615,2172428210,2851579949
2234572668,2132914797,2244793573,2774982142
2147688388,2388242133,2239499431,2726745638
2236954458,2065022492,2152880214,2916433404
2274315542,2235974309,2084741895,2879968987
2347164168,2145670752,2083559487,2963481917
2189751336,2103454334,2081919559,2880473463
2401715140,2098739761,2218674474,2940128272
2276844217,2214959033,2163230108,2670125484
2406937624,2127840924,2066068417,2980412061
2292086800,2079099054,2215018673,2987344571
2574227935,2259467266,2301931744,2937409129
2255659341,2307817214,2252903826,2576768571
2999071333,2136190759,2145310574,2299768723
2979850602,2154709236,2170536761,2386316493
3004811368,2093675410,2270198960,2164284991
3035375095,2115256551,2165787437,2305010621
2942785032,2186682056,2179295732,2155171849
2919479849,2179837505,2256881419,2232119179
3059069598,2086613238,2259673834,2288495263
2988675638,2110256979,2058340426,2269628890
2886586053,2032463246,2088025092,2140964554
2944577796,2159672673,2078204366,2309178011
2993699652,2234679382,2264341286,2214756208
2965752779,2059241229,2106703273,2412893692
2964326954,2009837654,2179785478,2393751984
3164327141,2288485685,2270984845,2308583017
2985879284,2082439317,2430407353,2435496435
2191887312,1661876951,1752525431,2181315868
2654000747,2033472062,2128434599,2195490102
2809730875,2144416249,2402454254,2323055748
3805903900,2830411934,2946102519,2833860352
3702010423,2762257510,2449360572,2394663008
3371793431,2194565300,2266995077,2230420987
3346072916,2146338108,2207385120,2185055760
3187472380,2191780318,2248436794,2367368222
2840684390,2065070475,2433956682,2362666493
2966732906,2135990262,2237725633,2273840851
2784584728,2048716755,2324855095,2327655145
2794568555,2103302482,2018085002,2425680220
2875808651,1992120069,2050561963,2179543684
2890947723,2037451603,2123209007,2348371180
2912318656,2064980712,2172888819,2137604627
2927016857,2016754548,2158050281,2436705261
2633600807,2275956404,2145627502,2558063424
2499909995,2064457901,2072339359,2532910782
2460079350,2123968055,2151004767,2556446329
2386167905,2154851456,2019182205,2564415566
2445612047,2083936349,2191136802,2460697489
2392632509,2079650154,2068544582,2359765585
2424324656,2017409786,2087225345,2516107030
2542967111,2150352317,2059766450,2297221743
2382897982,2070390059,2071633720,2482441844
2446194623,2033014278,2155249544,2481634435
2631325037,2099297931,3073282359,2954744519
2244100439,1920355323,2031030140,2596711116
2494536996,2256104887,2191639171,2630140731
2590812810,2188072942,2056840912,2427607546
2446864539,2128081271,2073219957,2668581089
2374940908,2056956953,2118564451,2603803366
2644144901,2127018962,1931965427,2340331039
2637617624,1990400650,2005994056,2142780627
2717381281,2093843724,2163486783,2384324462
2695107213,2156804807,2140701570,2249388482
2697536162,1993689889,2109209473,2316533653
2426731036,2056588353,2073284075,2209576943
2696739316,2180849534,2032211589,2114280251
2685709962,2140608593,2183723480,2350299641
2706935585,1944552087,2082224131,2346450454
2716120897,2165238935,2105153734,2371404824
3457254248,2771837311,2446026919,2608203666
2595417737,2124899000,2064813364,2344232491
2770160147,2114459335,2111141271,2415469213
2558391044,2101034552,2207237996,2494634265
2711387863,2179152958,2147624044,2534170573
2393292429,2099768932,2170403528,2494515394
2932298128,2059988424,1960080788,2232727455
2788972101,1934347916,2024421412,1915425555
2962772699,2019726393,2188104696,2182654069
2855077709,2147603250,2096692987,2085179279
2805880391,1996267492,2076988816,2188607368
2779918440,1969981591,2016397682,2037386691
2891757711,2175960422,2161618478,2155099965
2865321762,2143747108,2085949602,2007194635
2793743302,1967530668,2058745561,1943137628
2722352463,2188346847,2068559688,2159724785
3078556553,3092790759,2457273590,2264372668
3034863574,2131960678,2070996276,2164828268
3146626277,2192293155,2189535215,2240021326
2826366165,2091762017,2121229697,2080383995
3053935039,2063756455,2053978519,2124709942
2218612448,2206440057,2239855310,3064994089
2164282077,2247902941,2129762923,3051296070
2262970807,2291716390,2123210149,2921650719
2200560128,2106066642,2233300703,2751480885
2165211106,2358833615,2198077205,2867995316
2168542946,2164935962,2211937328,2926452360
2232604176,2309808005,2230079605,2751355848
2350300602,2209185046,2250779270,2900495666
2185595247,2140075888,2204051161,2889075769
2255243340,2111638754,2256309875,2926471275
2276637883,2248052309,2263358524,2929521301
2144843935,2079539642,2365188109,2985051537
2123505619,2165921848,2285420080,3068691903
2151548838,2272465897,2264080181,2934020346
1965234483,2154954242,2192841324,2635650926
2176348477,2055236474,2157477711,2803565204
2072315017,1694540155,1779229874,1844094791
2900798859,2154037997,2060985783,2193151980
2964590364,2362998985,2329921075,2749859388
3544405747,2867746740,2944855891,3560405506
3275114220,2720269253,2372131508,2610888551
2864434080,2252464334,2242351831,2424635439
3010012866,2213980998,2195193375,2440566984
2957604379,2175899719,2104792457,2163639032
2793026332,2203272470,2214829418,2061546155
3150785146,2089973134,2182223650,2088613020
3100931122,2060265935,2275491904,2214197428
2969322264,2115394518,2139407457,2257978703
3043185791,1985097669,2156607736,2366031921
2872911153,2072835356,2021183403,2433055267
2931001067,2087430368,2277219275,2250495568
2856006762,2042973970,2177659297,2516342618
2903511437,2152358841,2128941095,2493950527
2918929740,2313795886,2262753576,2435422176
2867489581,2096024645,2226756639,2269803700
2901882305,2088414582,2121788029,2377401471
2764151058,2162077923,2222658445,2257127207
2833254723,2144724415,2171667236,2336451457
2944632621,2082017372,2265586522,2357328024
2835924832,2102471647,2030659476,2342550577
2788707853,2105875647,2061246472,2322356190
2875865815,2170990975,2133631631,2447695277
2896674303,2259971699,2272787625,2328746651
2831336892,2071208756,2075134103,2453630437
2908009525,2041585978,2132275907,2711412883
2865905004,2300010092,2257939986,2647020412
2491731072,2221337817,2270043764,2558636163
2430188890,2094119754,2099349658,2712163601
2505342670,2383586618,2270374844,2749935412
2444026486,2168886223,2185891662,2751427564
2398106738,2060887849,2220547201,2691060630
2305165052,2331261229,2085792737,2680483233
