Lomuto,QuickThenInsert @ 59
4356107818,4201767740
3550530065,3881718794
3411056392,3609130294
3340452679,3569656487
2712607025,3074238820
4628153579,3828702516
4647116388,3848034338
4039113678,3430517360
3544216999,3309765668
3347241500,3026390632
3426259951,3822369492
3976222799,3636087648
4104913373,3763194918
3638835066,3386182302
3350710233,3260349198
3541294877,2944811177
3098181016,3124544804
3313883990,3447110524
3932274968,4000423778
4107236415,4196658380
4573600641,4313437928
3957809491,2960198312
4262817988,3342227128
3082199543,2041378291
2612506586,2287717984
2367436517,2335277926
2678323346,2194837598
2543418840,2367281653
2501233659,2200030884
2477886515,2431222027
2675863078,2453264122
2598697666,2504675334
2491901508,2449861379
2764197973,2252057924
2282022142,2151884937
2235676565,2055442231
3123739908,2699218072
3020910256,2468814960
2864804756,2531565269
2877062629,2457801458
3048099723,2695031635
2810200351,2535484868
2984655439,2444747688
2973203911,2369252367
2811567165,2520207024
2930459636,2370891008
3195932201,2734349288
3242624137,2701126725
3169962706,2573051044
3428367456,3109115829
3558106593,3465371542
3938340636,3743687380
3420534846,2505117743
3274815617,2425299398
3267028023,2229036773
2931323851,2308272534
3093906372,2210894345
3201657627,2538630484
2996311751,2384424519
3130929030,2330735608
3080537647,2230724780
3025070944,2423815764
3112003399,2264725439
3208680255,2353138289
3358451341,2450161697
3260797475,2486543474
3516116322,2610003713
2675323236,3054379413
2659035612,2948396369
2447154244,2978996127
2605016072,2820702462
2708156386,2873742852
2488289024,2855466913
2663383411,2791762724
2647348239,2725978653
2532468665,2923631392
2461008057,2759160868
2897518333,3048577093
2839486983,2905713471
2671446924,2986917694
2957807655,3220709059
3389248315,3668887266
3894081409,3892282348
3333535780,2997690335
3030487210,2792695990
3003425223,2582474799
3170128116,2328348182
3456366178,2333998861
3077452263,2432237340
3219023088,2651647672
4079727126,2642306353
4374339869,2937212222
5089309867,3610707591
5922706399,4217431345
7803911404,4723216307
8040933078,4200483813
6966432026,4037927317
6526051689,3884269823
2505060915,1944850003
2541105239,2515271624
2815410866,2959827056
2992606146,2997587064
