BestShot@59,Library
1853152123,1792412258
2879463687,3508133427
2436957170,3153679837
2476136699,3199458669
2537422869,3193960660
2873421945,3250926624
2732521751,3538780021
2816697958,3537020887
2847550405,3481252399
2814099530,3367693412
2808143481,3240832305
2606853328,3261001661
2571426968,3316952156
2836803002,3317994766
2892119537,3419996479
3151098042,3303842884
2770269223,3550651105
2696030432,3520489564
2994611746,3491440652
2826928389,3847468371
3053214390,3882697255
2949568417,3647784240
2666146718,3561168197
2712964534,3378328802
2530779210,3015248775
2564365509,3199976087
3307188846,3506135136
2902430619,4015326870
2880406427,3923212909
2773235327,3767244677
2984464652,3668046187
2668015287,3484408611
2334545688,2680297285
2397860822,2696222388
2882622781,2869621899
2581358961,3103682973
2615308745,2963776595
2700755248,2977319875
2481771937,3014321292
2606241407,2818634954
3237122696,3358768370
2861473244,3235867921
2817356560,3193349201
2696278781,3343475907
3274804743,3773934370
3328291131,4053571466
2896283688,4250973589
3356569624,4381011139
3602518335,4298342031
3214541558,4310930199
3107798768,4239983087
2682289913,3711565364
2574389757,3474701160
2796449585,3694471243
2966070472,3642384833
2818480034,3647115367
3200771049,3395943406
2864116904,3373875064
3204379090,4092637414
2954663428,4191828068
3111812234,4063126907
2746196255,3922614100
2700330342,3789146269
2631740258,2698029693
1689594232,1916321399
1737234534,1447535162
1910320535,1634053198
1842854368,1568940034
1806962788,1785712577
1837945965,1600217384
1894210166,1657345728
1926167415,1675325444
1970933776,1708480660
2044232403,1817730223
2006575460,1708166765
2042055244,1764330884
2117276241,1889325863
2055113803,1754970767
3986014635,2931885061
3709378620,2555395484
3454184602,2341478512
3289916154,2264128708
3576220242,2315028892
3065490776,2561946088
3551931083,2362912529
3236384943,2416133818
3686987338,2747413304
4000182209,2618582949
3957306662,2331420293
4476959469,2773612970
3939612207,2883675588
3780547812,2801097962
3261828614,2917613430
2573333381,2552158964
2976765354,3666305112
2903355757,3765044350
2999594148,3515707379
2681896450,3306248652
2658297790,3121269760
2643325159,2918960415
2567870120,3277264346
2517640286,2747208796
2612854251,3069196469
3053900239,2769858812
3070638571,3005528251
3416940010,3150106788
3416880842,3103250899
3599797323,3489605004
3406954455,3471793881
3351489970,3113335981
3135065283,3046997272
2655886265,2667192269
1688437297,1504516262
1788614375,1472211983
1828877822,1638422623
1750321809,1587425268
1887744785,1523270294
1932765296,1609673614
1932208291,1680603767
1895068417,1636506129
1906278605,1687983555
1972580001,1855073119
1953898363,1675107830
1912413165,1783032316
2055953551,1731830843
2073813691,1736776336
3669088442,2964757404
3483311683,2942384591
3086780826,2772565777
3119837938,2624675971
3071639319,2629569165
3095923628,2706201190
3004774373,2435369627
3087805259,2825750012
3315325912,2897787867
3588507182,2753807286
3359378879,3165880661
3908983943,2995246809
3575759477,3506905596
3603147291,3302628579
3212608904,3014625341
2926966181,2855965879
2797613604,2802853011
2982785754,2866498602
3139849849,3087724646
3191943130,3056963989
3304754090,3112864874
3317707322,2815226594
3389842149,2951395654
2850562634,2857234457
3068040573,2930939588
2986324279,2949466383
3260382393,2986623960
3028898406,3141697323
3368298008,3186310169
3374434730,3328915253
3249668428,3538072084
2880230987,3209818782
2548500219,3018947780
2641585807,3041482024
2625730260,3070291103
2773093368,3239092330
2888418973,3453453032
3035620422,3445709502
2922278139,3362948965
2884998795,3376196273
2842585720,3405064125
2889605896,3221968891
2779812220,3165508188
3165736006,3119255356
3089949109,3475037354
3315797047,3223479872
3245122817,3509665642
3146190410,3614169867
2926195216,3450931134
2800737567,3246930679
2736490187,3125853818
2645253493,2933255284
2795051435,3186463387
2590157270,2809062475
2781677563,3280280613
3148512261,3076566523
3159738245,3259876738
2903733129,3543406790
3346063734,3367497219
3213981332,3932108505
3029440015,3715651349
3055905110,3491943540
3372993760,4182598602
3412558842,4355189861
3167271165,4099431459
2792094180,3557384327
2776472448,3342015291
2881612624,3517076175
3064195218,3495063546
2796926147,3476463805
3015474382,3389876323
3042275522,3385419743
3238730476,4041487049
3157344992,4031314894
